,degree,coeff name,coeff value,std error,CI lower,CI upper
0,5.0,$\beta$0,-0.4095,0.5641,-1.5152,0.6962
1,5.0,$\beta$1,6.4771,0.5613,5.3769,7.5773
2,5.0,$\beta$2,-2.0897,2.8202,-7.6172,3.4378
3,5.0,$\beta$3,-14.3456,1.6312,-17.5428,-11.1484
4,5.0,$\beta$4,-21.5091,2.8034,-27.0037,-16.0145
5,5.0,$\beta$5,5.6595,6.0593,-6.2168,17.5358
6,5.0,$\beta$6,12.7435,3.1064,6.6548,18.8321
7,5.0,$\beta$7,45.7523,3.1195,39.6381,51.8666
8,5.0,$\beta$8,19.7765,6.0262,7.9651,31.5879
9,5.0,$\beta$9,5.8645,5.9833,-5.8628,17.5918
10,5.0,$\beta$10,-26.5667,3.0504,-32.5456,-20.5879
11,5.0,$\beta$11,-14.4569,2.6571,-19.6647,-9.2491
12,5.0,$\beta$12,-38.6052,3.0547,-44.5924,-32.6181
13,5.0,$\beta$13,-2.1658,5.959,-13.8454,9.5138
14,5.0,$\beta$14,-8.54,2.2206,-12.8924,-4.1877
15,5.0,$\beta$15,23.5913,1.259,21.1237,26.0589
16,5.0,$\beta$16,-16.3325,1.1087,-18.5055,-14.1595
17,5.0,$\beta$17,24.4678,1.1236,22.2656,26.6701
18,5.0,$\beta$18,2.6816,1.2691,0.1942,5.169
19,5.0,$\beta$19,-1.6284,2.2176,-5.9749,2.7182
