,degree,coeff name,coeff value,std error,CI lower,CI upper
0,19.0,$\beta$0,-0.0,0.0,-0.0,-0.0
1,19.0,$\beta$1,-0.002,7e-05,-0.00209,-0.00182
2,19.0,$\beta$2,-0.0032,9e-05,-0.00341,-0.00305
3,19.0,$\beta$3,-0.2838,0.00588,-0.29532,-0.27225
4,19.0,$\beta$4,0.2891,0.00785,0.27367,0.30443
5,19.0,$\beta$5,-0.1293,0.00587,-0.14081,-0.1178
6,19.0,$\beta$6,0.0024,7e-05,0.00227,0.00256
7,19.0,$\beta$7,-0.0008,6e-05,-0.00088,-0.00063
8,19.0,$\beta$8,-0.0014,6e-05,-0.00153,-0.00128
9,19.0,$\beta$9,0.0014,7e-05,0.00123,0.00151
10,19.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,19.0,$\beta$11,-0.0,0.0,-1e-05,-1e-05
12,19.0,$\beta$12,0.0,0.0,1e-05,2e-05
13,19.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,19.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,19.0,$\beta$15,0.0,0.0,0.0,0.0
16,19.0,$\beta$16,0.0,0.0,-0.0,0.0
17,19.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,19.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,19.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,19.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,19.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,19.0,$\beta$22,0.0,0.0,-0.0,0.0
23,19.0,$\beta$23,0.0,0.0,-0.0,0.0
24,19.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,19.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,19.0,$\beta$26,0.0,0.0,-0.0,0.0
27,19.0,$\beta$27,0.0,0.0,0.0,0.0
28,19.0,$\beta$28,-0.0,0.0,-0.0,0.0
29,19.0,$\beta$29,0.0,0.0,-0.0,0.0
30,19.0,$\beta$30,0.0,0.0,-0.0,0.0
31,19.0,$\beta$31,0.0,0.0,-0.0,0.0
32,19.0,$\beta$32,0.0,0.0,-0.0,0.0
33,19.0,$\beta$33,0.0,0.0,-0.0,0.0
34,19.0,$\beta$34,-0.0,0.0,-0.0,0.0
35,19.0,$\beta$35,0.0,0.0,-0.0,0.0
36,19.0,$\beta$36,-0.0,0.0,-0.0,0.0
37,19.0,$\beta$37,-0.0,0.0,-0.0,0.0
38,19.0,$\beta$38,0.0,0.0,-0.0,0.0
39,19.0,$\beta$39,-0.0,0.0,-0.0,0.0
40,19.0,$\beta$40,0.0,0.0,-0.0,0.0
41,19.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,19.0,$\beta$42,0.0,0.0,-0.0,0.0
43,19.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,19.0,$\beta$44,0.0,0.0,-0.0,0.0
45,19.0,$\beta$45,0.0,0.0,-0.0,0.0
46,19.0,$\beta$46,-0.0,0.0,-0.0,0.0
