,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
59,1.0216,-0.0006,1.969,-0.9286,285611.0,256.0,0.0001,0.001
60,1.0331,-0.0119,0.7472,0.2681,285611.0,256.0,0.3,0.0031622776601683794
61,1.0217,-0.0008,0.7296,0.2854,285611.0,256.0,0.1,0.0031622776601683794
62,1.0229,-0.002,0.7465,0.2688,285611.0,256.0,0.042169650342858224,0.0031622776601683794
63,1.0227,-0.0017,0.7568,0.2587,285611.0,256.0,0.01778279410038923,0.0031622776601683794
64,1.0206,0.0003,0.7723,0.2435,285611.0,256.0,0.007498942093324558,0.0031622776601683794
65,1.0211,-0.0002,0.7896,0.2266,285611.0,256.0,0.0031622776601683794,0.0031622776601683794
66,1.021,-0.0001,0.8688,0.149,285611.0,256.0,0.001333521432163324,0.0031622776601683794
67,1.0213,-0.0004,1.2989,-0.2723,285611.0,256.0,0.0005623413251903491,0.0031622776601683794
68,1.0208,0.0001,1.9509,-0.911,285611.0,256.0,0.00023713737056616554,0.0031622776601683794
69,1.0212,-0.0003,1.9669,-0.9266,285611.0,256.0,0.0001,0.0031622776601683794
70,1.0352,-0.014,0.8574,0.1602,285611.0,256.0,0.3,0.01
71,1.1136,-0.0908,0.8627,0.155,285611.0,256.0,0.1,0.01
72,1.035,-0.0138,0.8661,0.1517,285611.0,256.0,0.042169650342858224,0.01
73,1.0264,-0.0054,0.8737,0.1442,285611.0,256.0,0.01778279410038923,0.01
74,1.0211,-0.0002,0.8816,0.1365,285611.0,256.0,0.007498942093324558,0.01
75,1.0207,0.0002,0.8963,0.122,285611.0,256.0,0.0031622776601683794,0.01
76,1.0213,-0.0004,0.9538,0.0658,285611.0,256.0,0.001333521432163324,0.01
77,1.0211,-0.0002,1.0442,-0.0228,285611.0,256.0,0.0005623413251903491,0.01
78,1.0205,0.0004,1.5754,-0.5431,285611.0,256.0,0.00023713737056616554,0.01
79,1.021,-0.0001,1.9559,-0.9159,285611.0,256.0,0.0001,0.01
80,1.048,-0.0265,1.0212,-0.0003,285611.0,256.0,0.3,0.03162277660168379
81,1.0215,-0.0006,0.9576,0.062,285611.0,256.0,0.1,0.03162277660168379
82,1.0412,-0.0199,0.9614,0.0583,285611.0,256.0,0.042169650342858224,0.03162277660168379
83,1.0209,0.0,0.965,0.0547,285611.0,256.0,0.01778279410038923,0.03162277660168379
84,1.021,-0.0001,0.9703,0.0496,285611.0,256.0,0.007498942093324558,0.03162277660168379
85,1.0208,0.0001,1.0031,0.0174,285611.0,256.0,0.0031622776601683794,0.03162277660168379
86,1.0209,-0.0,1.0191,0.0018,285611.0,256.0,0.001333521432163324,0.03162277660168379
87,1.0217,-0.0008,1.0227,-0.0017,285611.0,256.0,0.0005623413251903491,0.03162277660168379
88,1.021,-0.0001,1.0435,-0.0221,285611.0,256.0,0.00023713737056616554,0.03162277660168379
89,1.0212,-0.0003,1.3839,-0.3555,285611.0,256.0,0.0001,0.03162277660168379
90,1.0498,-0.0283,1.0212,-0.0003,285611.0,256.0,0.3,0.1
91,1.1548,-0.1311,1.0212,-0.0003,285611.0,256.0,0.1,0.1
92,1.0273,-0.0062,1.0072,0.0134,285611.0,256.0,0.042169650342858224,0.1
93,1.0753,-0.0533,1.0166,0.0043,285611.0,256.0,0.01778279410038923,0.1
94,1.0209,-0.0,1.0193,0.0016,285611.0,256.0,0.007498942093324558,0.1
95,1.0216,-0.0007,1.0204,0.0005,285611.0,256.0,0.0031622776601683794,0.1
96,1.0209,0.0,1.0213,-0.0004,285611.0,256.0,0.001333521432163324,0.1
97,1.021,-0.0001,1.0229,-0.0019,285611.0,256.0,0.0005623413251903491,0.1
98,1.0213,-0.0004,1.0256,-0.0046,285611.0,256.0,0.00023713737056616554,0.1
99,1.0213,-0.0004,1.0344,-0.0132,285611.0,256.0,0.0001,0.1
