,degree,coeff name,coeff value,std error,CI lower,CI upper
0,9.0,$\beta$0,0.0,0.0,0.0,0.0
1,9.0,$\beta$1,-0.0007,0.0001,-0.0008,-0.0006
2,9.0,$\beta$2,0.0019,0.0001,0.0017,0.002
3,9.0,$\beta$3,-0.285,0.005,-0.2947,-0.2753
4,9.0,$\beta$4,0.2953,0.0067,0.2821,0.3086
5,9.0,$\beta$5,-0.1317,0.005,-0.1414,-0.1219
6,9.0,$\beta$6,0.0024,0.0001,0.0023,0.0025
7,9.0,$\beta$7,-0.0008,0.0001,-0.0009,-0.0007
8,9.0,$\beta$8,-0.0014,0.0001,-0.0015,-0.0013
9,9.0,$\beta$9,0.0014,0.0001,0.0013,0.0015
10,9.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,9.0,$\beta$11,-0.0,0.0,-0.0,-0.0
12,9.0,$\beta$12,0.0,0.0,0.0,0.0
13,9.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,9.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,9.0,$\beta$15,0.0,0.0,0.0,0.0
16,9.0,$\beta$16,0.0,0.0,-0.0,0.0
17,9.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,9.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,9.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,9.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,9.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,9.0,$\beta$22,0.0,0.0,-0.0,0.0
23,9.0,$\beta$23,0.0,0.0,-0.0,0.0
24,9.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,9.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,9.0,$\beta$26,0.0,0.0,-0.0,0.0
27,9.0,$\beta$27,0.0,0.0,0.0,0.0
28,9.0,$\beta$28,-0.0,0.0,-0.0,0.0
29,9.0,$\beta$29,0.0,0.0,-0.0,0.0
30,9.0,$\beta$30,0.0,0.0,-0.0,0.0
31,9.0,$\beta$31,0.0,0.0,-0.0,0.0
32,9.0,$\beta$32,0.0,0.0,-0.0,0.0
33,9.0,$\beta$33,0.0,0.0,-0.0,0.0
34,9.0,$\beta$34,0.0,0.0,-0.0,0.0
35,9.0,$\beta$35,0.0,0.0,0.0,0.0
36,9.0,$\beta$36,-0.0,0.0,-0.0,0.0
37,9.0,$\beta$37,0.0,0.0,-0.0,0.0
38,9.0,$\beta$38,0.0,0.0,-0.0,0.0
39,9.0,$\beta$39,-0.0,0.0,-0.0,-0.0
40,9.0,$\beta$40,0.0,0.0,-0.0,0.0
41,9.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,9.0,$\beta$42,0.0,0.0,-0.0,0.0
43,9.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,9.0,$\beta$44,0.0,0.0,-0.0,0.0
45,9.0,$\beta$45,0.0,0.0,-0.0,0.0
46,9.0,$\beta$46,-0.0,0.0,-0.0,0.0
47,9.0,$\beta$47,0.0,0.0,-0.0,0.0
48,9.0,$\beta$48,0.0,0.0,-0.0,0.0
49,9.0,$\beta$49,0.0,0.0,-0.0,0.0
50,9.0,$\beta$50,0.0,0.0,-0.0,0.0
51,9.0,$\beta$51,-0.0,0.0,-0.0,-0.0
52,9.0,$\beta$52,0.0,0.0,-0.0,0.0
53,9.0,$\beta$53,0.0,0.0,-0.0,0.0
54,9.0,$\beta$54,-0.0,0.0,-0.0,0.0
