,degree,coeff name,coeff value,std error,CI lower,CI upper
0,13.0,$\beta$0,-0.0,0.0,-0.0,-0.0
1,13.0,$\beta$1,-0.0045,0.0001,-0.0047,-0.0043
2,13.0,$\beta$2,0.0021,0.0001,0.002,0.0022
3,13.0,$\beta$3,-0.2844,0.005,-0.2942,-0.2746
4,13.0,$\beta$4,0.2952,0.0068,0.2819,0.3085
5,13.0,$\beta$5,-0.1316,0.005,-0.1414,-0.1217
6,13.0,$\beta$6,0.0024,0.0001,0.0023,0.0025
7,13.0,$\beta$7,-0.0008,0.0001,-0.0009,-0.0007
8,13.0,$\beta$8,-0.0014,0.0001,-0.0015,-0.0013
9,13.0,$\beta$9,0.0014,0.0001,0.0013,0.0015
10,13.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,13.0,$\beta$11,-0.0,0.0,-0.0,-0.0
12,13.0,$\beta$12,0.0,0.0,0.0,0.0
13,13.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,13.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,13.0,$\beta$15,0.0,0.0,0.0,0.0
16,13.0,$\beta$16,0.0,0.0,-0.0,0.0
17,13.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,13.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,13.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,13.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,13.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,13.0,$\beta$22,0.0,0.0,-0.0,0.0
23,13.0,$\beta$23,0.0,0.0,-0.0,0.0
24,13.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,13.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,13.0,$\beta$26,0.0,0.0,-0.0,0.0
27,13.0,$\beta$27,0.0,0.0,0.0,0.0
28,13.0,$\beta$28,-0.0,0.0,-0.0,0.0
29,13.0,$\beta$29,0.0,0.0,-0.0,0.0
30,13.0,$\beta$30,0.0,0.0,-0.0,0.0
31,13.0,$\beta$31,0.0,0.0,-0.0,0.0
32,13.0,$\beta$32,0.0,0.0,-0.0,0.0
33,13.0,$\beta$33,0.0,0.0,-0.0,0.0
34,13.0,$\beta$34,0.0,0.0,-0.0,0.0
35,13.0,$\beta$35,0.0,0.0,-0.0,0.0
36,13.0,$\beta$36,-0.0,0.0,-0.0,0.0
37,13.0,$\beta$37,0.0,0.0,-0.0,0.0
38,13.0,$\beta$38,0.0,0.0,-0.0,0.0
39,13.0,$\beta$39,-0.0,0.0,-0.0,-0.0
40,13.0,$\beta$40,0.0,0.0,-0.0,0.0
41,13.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,13.0,$\beta$42,0.0,0.0,-0.0,0.0
43,13.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,13.0,$\beta$44,0.0,0.0,-0.0,0.0
45,13.0,$\beta$45,0.0,0.0,-0.0,0.0
46,13.0,$\beta$46,-0.0,0.0,-0.0,0.0
47,13.0,$\beta$47,0.0,0.0,-0.0,0.0
48,13.0,$\beta$48,0.0,0.0,-0.0,0.0
49,13.0,$\beta$49,0.0,0.0,-0.0,0.0
50,13.0,$\beta$50,0.0,0.0,-0.0,0.0
51,13.0,$\beta$51,-0.0,0.0,-0.0,-0.0
52,13.0,$\beta$52,0.0,0.0,-0.0,0.0
53,13.0,$\beta$53,0.0,0.0,-0.0,0.0
54,13.0,$\beta$54,0.0,0.0,-0.0,0.0
55,13.0,$\beta$55,-0.0,0.0,-0.0,0.0
56,13.0,$\beta$56,0.0,0.0,-0.0,0.0
57,13.0,$\beta$57,0.0,0.0,-0.0,0.0
58,13.0,$\beta$58,0.0,0.0,-0.0,0.0
59,13.0,$\beta$59,0.0,0.0,-0.0,0.0
60,13.0,$\beta$60,0.0,0.0,-0.0,0.0
61,13.0,$\beta$61,-0.0,0.0,-0.0,0.0
62,13.0,$\beta$62,-0.0,0.0,-0.0,0.0
63,13.0,$\beta$63,0.0,0.0,-0.0,0.0
64,13.0,$\beta$64,-0.0,0.0,-0.0,0.0
65,13.0,$\beta$65,-0.0,0.0,-0.0,0.0
66,13.0,$\beta$66,0.0,0.0,-0.0,0.0
67,13.0,$\beta$67,-0.0,0.0,-0.0,0.0
68,13.0,$\beta$68,0.0,0.0,-0.0,0.0
69,13.0,$\beta$69,0.0,0.0,-0.0,0.0
70,13.0,$\beta$70,-0.0,0.0,-0.0,0.0
71,13.0,$\beta$71,0.0,0.0,-0.0,0.0
72,13.0,$\beta$72,-0.0,0.0,-0.0,0.0
73,13.0,$\beta$73,0.0,0.0,-0.0,0.0
74,13.0,$\beta$74,-0.0,0.0,-0.0,0.0
75,13.0,$\beta$75,-0.0,0.0,-0.0,0.0
76,13.0,$\beta$76,0.0,0.0,-0.0,0.0
77,13.0,$\beta$77,-0.0,0.0,-0.0,-0.0
78,13.0,$\beta$78,-0.0,0.0,-0.0,0.0
79,13.0,$\beta$79,-0.0,0.0,-0.0,0.0
80,13.0,$\beta$80,0.0,0.0,-0.0,0.0
81,13.0,$\beta$81,-0.0,0.0,-0.0,0.0
82,13.0,$\beta$82,0.0,0.0,-0.0,0.0
83,13.0,$\beta$83,-0.0,0.0,-0.0,0.0
84,13.0,$\beta$84,0.0,0.0,-0.0,0.0
85,13.0,$\beta$85,0.0,0.0,-0.0,0.0
86,13.0,$\beta$86,-0.0,0.0,-0.0,0.0
87,13.0,$\beta$87,0.0,0.0,-0.0,0.0
88,13.0,$\beta$88,-0.0,0.0,-0.0,0.0
89,13.0,$\beta$89,-0.0,0.0,-0.0,0.0
90,13.0,$\beta$90,0.0,0.0,0.0,0.0
91,13.0,$\beta$91,0.0,0.0,0.0,0.0
92,13.0,$\beta$92,0.0,0.0,-0.0,0.0
93,13.0,$\beta$93,0.0,0.0,-0.0,0.0
94,13.0,$\beta$94,-0.0,0.0,-0.0,0.0
95,13.0,$\beta$95,0.0,0.0,-0.0,0.0
96,13.0,$\beta$96,-0.0,0.0,-0.0,0.0
97,13.0,$\beta$97,0.0,0.0,-0.0,0.0
98,13.0,$\beta$98,-0.0,0.0,-0.0,0.0
99,13.0,$\beta$99,0.0,0.0,-0.0,0.0
100,13.0,$\beta$100,0.0,0.0,-0.0,0.0
101,13.0,$\beta$101,-0.0,0.0,-0.0,0.0
102,13.0,$\beta$102,-0.0,0.0,-0.0,0.0
103,13.0,$\beta$103,0.0,0.0,-0.0,0.0
104,13.0,$\beta$104,0.0,0.0,0.0,0.0
