,degree,coeff name,coeff value,std error,CI lower,CI upper
0,30.0,$\beta$0,-0.0,0.0,-0.0,-0.0
1,30.0,$\beta$1,-0.0029,5e-05,-0.00305,-0.00284
2,30.0,$\beta$2,-0.0013,9e-05,-0.00148,-0.00113
3,30.0,$\beta$3,-0.164,0.00383,-0.17153,-0.15653
4,30.0,$\beta$4,0.0201,0.0051,0.01014,0.03014
5,30.0,$\beta$5,-0.0611,0.00381,-0.06856,-0.05361
6,30.0,$\beta$6,0.0023,5e-05,0.00222,0.00241
7,30.0,$\beta$7,-0.0007,4e-05,-0.00077,-0.00061
8,30.0,$\beta$8,0.0005,4e-05,0.00043,0.00059
9,30.0,$\beta$9,0.0004,5e-05,0.00034,0.00053
10,30.0,$\beta$10,-0.0,0.0,-1e-05,-1e-05
11,30.0,$\beta$11,0.0,0.0,0.0,0.0
12,30.0,$\beta$12,-0.0,0.0,-0.0,-0.0
13,30.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,30.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,30.0,$\beta$15,-0.0,0.0,-0.0,-0.0
16,30.0,$\beta$16,0.0,0.0,0.0,0.0
17,30.0,$\beta$17,-0.0,0.0,-0.0,0.0
18,30.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,30.0,$\beta$19,-0.0,0.0,-0.0,0.0
20,30.0,$\beta$20,-0.0,0.0,-0.0,0.0
21,30.0,$\beta$21,-0.0,0.0,-0.0,-0.0
22,30.0,$\beta$22,0.0,0.0,-0.0,0.0
23,30.0,$\beta$23,-0.0,0.0,-0.0,0.0
24,30.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,30.0,$\beta$25,-0.0,0.0,-0.0,-0.0
26,30.0,$\beta$26,-0.0,0.0,-0.0,0.0
27,30.0,$\beta$27,0.0,0.0,0.0,0.0
28,30.0,$\beta$28,0.0,0.0,0.0,0.0
29,30.0,$\beta$29,0.0,0.0,-0.0,0.0
30,30.0,$\beta$30,-0.0,0.0,-0.0,0.0
31,30.0,$\beta$31,-0.0,0.0,-0.0,0.0
32,30.0,$\beta$32,0.0,0.0,-0.0,0.0
33,30.0,$\beta$33,0.0,0.0,-0.0,0.0
34,30.0,$\beta$34,-0.0,0.0,-0.0,0.0
35,30.0,$\beta$35,0.0,0.0,-0.0,0.0
36,30.0,$\beta$36,0.0,0.0,0.0,0.0
37,30.0,$\beta$37,0.0,0.0,-0.0,0.0
38,30.0,$\beta$38,0.0,0.0,0.0,0.0
39,30.0,$\beta$39,-0.0,0.0,-0.0,0.0
40,30.0,$\beta$40,-0.0,0.0,-0.0,0.0
41,30.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,30.0,$\beta$42,0.0,0.0,-0.0,0.0
43,30.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,30.0,$\beta$44,-0.0,0.0,-0.0,-0.0
45,30.0,$\beta$45,-0.0,0.0,-0.0,0.0
46,30.0,$\beta$46,-0.0,0.0,-0.0,0.0
47,30.0,$\beta$47,-0.0,0.0,-0.0,0.0
48,30.0,$\beta$48,-0.0,0.0,-0.0,0.0
49,30.0,$\beta$49,0.0,0.0,-0.0,0.0
50,30.0,$\beta$50,-0.0,0.0,-0.0,0.0
51,30.0,$\beta$51,-0.0,0.0,-0.0,0.0
52,30.0,$\beta$52,0.0,0.0,-0.0,0.0
53,30.0,$\beta$53,-0.0,0.0,-0.0,0.0
54,30.0,$\beta$54,-0.0,0.0,-0.0,0.0
55,30.0,$\beta$55,-0.0,0.0,-0.0,-0.0
56,30.0,$\beta$56,-0.0,0.0,-0.0,0.0
57,30.0,$\beta$57,0.0,0.0,-0.0,0.0
58,30.0,$\beta$58,-0.0,0.0,-0.0,0.0
59,30.0,$\beta$59,-0.0,0.0,-0.0,0.0
60,30.0,$\beta$60,-0.0,0.0,-0.0,0.0
61,30.0,$\beta$61,0.0,0.0,-0.0,0.0
62,30.0,$\beta$62,0.0,0.0,-0.0,0.0
63,30.0,$\beta$63,0.0,0.0,-0.0,0.0
64,30.0,$\beta$64,-0.0,0.0,-0.0,0.0
65,30.0,$\beta$65,0.0,0.0,-0.0,0.0
66,30.0,$\beta$66,0.0,0.0,-0.0,0.0
67,30.0,$\beta$67,-0.0,0.0,-0.0,0.0
68,30.0,$\beta$68,0.0,0.0,-0.0,0.0
69,30.0,$\beta$69,0.0,0.0,-0.0,0.0
70,30.0,$\beta$70,0.0,0.0,-0.0,0.0
71,30.0,$\beta$71,0.0,0.0,-0.0,0.0
72,30.0,$\beta$72,0.0,0.0,-0.0,0.0
73,30.0,$\beta$73,0.0,0.0,-0.0,0.0
74,30.0,$\beta$74,0.0,0.0,-0.0,0.0
75,30.0,$\beta$75,0.0,0.0,0.0,0.0
76,30.0,$\beta$76,-0.0,0.0,-0.0,0.0
77,30.0,$\beta$77,-0.0,0.0,-0.0,-0.0
78,30.0,$\beta$78,-0.0,0.0,-0.0,-0.0
79,30.0,$\beta$79,0.0,0.0,-0.0,0.0
80,30.0,$\beta$80,0.0,0.0,-0.0,0.0
81,30.0,$\beta$81,0.0,0.0,-0.0,0.0
82,30.0,$\beta$82,-0.0,0.0,-0.0,0.0
83,30.0,$\beta$83,0.0,0.0,-0.0,0.0
84,30.0,$\beta$84,-0.0,0.0,-0.0,0.0
85,30.0,$\beta$85,0.0,0.0,-0.0,0.0
86,30.0,$\beta$86,-0.0,0.0,-0.0,0.0
87,30.0,$\beta$87,-0.0,0.0,-0.0,0.0
88,30.0,$\beta$88,0.0,0.0,-0.0,0.0
89,30.0,$\beta$89,-0.0,0.0,-0.0,0.0
90,30.0,$\beta$90,0.0,0.0,-0.0,0.0
91,30.0,$\beta$91,0.0,0.0,0.0,0.0
92,30.0,$\beta$92,-0.0,0.0,-0.0,0.0
93,30.0,$\beta$93,-0.0,0.0,-0.0,0.0
94,30.0,$\beta$94,0.0,0.0,-0.0,0.0
95,30.0,$\beta$95,-0.0,0.0,-0.0,0.0
96,30.0,$\beta$96,0.0,0.0,-0.0,0.0
97,30.0,$\beta$97,-0.0,0.0,-0.0,0.0
98,30.0,$\beta$98,0.0,0.0,-0.0,0.0
99,30.0,$\beta$99,0.0,0.0,-0.0,0.0
100,30.0,$\beta$100,-0.0,0.0,-0.0,0.0
101,30.0,$\beta$101,-0.0,0.0,-0.0,0.0
102,30.0,$\beta$102,-0.0,0.0,-0.0,0.0
103,30.0,$\beta$103,0.0,0.0,-0.0,0.0
104,30.0,$\beta$104,0.0,0.0,-0.0,0.0
105,30.0,$\beta$105,-0.0,0.0,-0.0,-0.0
106,30.0,$\beta$106,0.0,0.0,-0.0,0.0
107,30.0,$\beta$107,-0.0,0.0,-0.0,0.0
108,30.0,$\beta$108,-0.0,0.0,-0.0,0.0
109,30.0,$\beta$109,0.0,0.0,-0.0,0.0
110,30.0,$\beta$110,0.0,0.0,-0.0,0.0
111,30.0,$\beta$111,-0.0,0.0,-0.0,-0.0
112,30.0,$\beta$112,0.0,0.0,-0.0,0.0
113,30.0,$\beta$113,0.0,0.0,-0.0,0.0
114,30.0,$\beta$114,0.0,0.0,-0.0,0.0
115,30.0,$\beta$115,-0.0,0.0,-0.0,0.0
116,30.0,$\beta$116,0.0,0.0,-0.0,0.0
117,30.0,$\beta$117,0.0,0.0,-0.0,0.0
118,30.0,$\beta$118,0.0,0.0,-0.0,0.0
119,30.0,$\beta$119,0.0,0.0,-0.0,0.0
120,30.0,$\beta$120,-0.0,0.0,-0.0,-0.0
121,30.0,$\beta$121,-0.0,0.0,-0.0,0.0
122,30.0,$\beta$122,-0.0,0.0,-0.0,0.0
123,30.0,$\beta$123,0.0,0.0,-0.0,0.0
124,30.0,$\beta$124,0.0,0.0,-0.0,0.0
125,30.0,$\beta$125,0.0,0.0,-0.0,0.0
126,30.0,$\beta$126,0.0,0.0,-0.0,0.0
127,30.0,$\beta$127,-0.0,0.0,-0.0,0.0
128,30.0,$\beta$128,0.0,0.0,-0.0,0.0
129,30.0,$\beta$129,0.0,0.0,-0.0,0.0
130,30.0,$\beta$130,-0.0,0.0,-0.0,0.0
131,30.0,$\beta$131,0.0,0.0,-0.0,0.0
132,30.0,$\beta$132,0.0,0.0,-0.0,0.0
133,30.0,$\beta$133,0.0,0.0,-0.0,0.0
134,30.0,$\beta$134,-0.0,0.0,-0.0,0.0
135,30.0,$\beta$135,-0.0,0.0,-0.0,0.0
136,30.0,$\beta$136,0.0,0.0,-0.0,0.0
137,30.0,$\beta$137,0.0,0.0,-0.0,0.0
138,30.0,$\beta$138,0.0,0.0,-0.0,0.0
139,30.0,$\beta$139,0.0,0.0,0.0,0.0
140,30.0,$\beta$140,0.0,0.0,-0.0,0.0
141,30.0,$\beta$141,0.0,0.0,-0.0,0.0
142,30.0,$\beta$142,0.0,0.0,-0.0,0.0
143,30.0,$\beta$143,-0.0,0.0,-0.0,0.0
144,30.0,$\beta$144,0.0,0.0,-0.0,0.0
145,30.0,$\beta$145,0.0,0.0,-0.0,0.0
146,30.0,$\beta$146,0.0,0.0,-0.0,0.0
147,30.0,$\beta$147,0.0,0.0,-0.0,0.0
148,30.0,$\beta$148,0.0,0.0,-0.0,0.0
