,degree,coeff name,coeff value,std error,CI lower,CI upper
0,12.0,$\beta$0,5.5226,3.217,-0.7826,11.8279
1,12.0,$\beta$1,31.3699,3.058,25.3762,37.3635
2,12.0,$\beta$2,-75.9264,57.0988,-187.8401,35.9873
3,12.0,$\beta$3,-319.9361,32.0865,-382.8256,-257.0465
4,12.0,$\beta$4,-504.8663,55.8891,-614.409,-395.3236
5,12.0,$\beta$5,592.4493,485.929,-359.9714,1544.8701
6,12.0,$\beta$6,903.1503,243.0715,426.7301,1379.5705
7,12.0,$\beta$7,3609.3493,240.1967,3138.5638,4080.1348
8,12.0,$\beta$8,3464.353,487.6867,2508.4871,4420.2189
9,12.0,$\beta$9,-2163.7679,2396.0761,-6860.0771,2532.5413
10,12.0,$\beta$10,-525.5019,1116.035,-2712.9304,1661.9267
11,12.0,$\beta$11,-10665.4673,972.2597,-12571.0963,-8759.8383
12,12.0,$\beta$12,-14967.0765,1114.3473,-17151.1972,-12782.9558
13,12.0,$\beta$13,-13186.1129,2442.0679,-17972.566,-8399.6598
14,12.0,$\beta$14,3230.7838,7389.7068,-11253.0415,17714.6092
15,12.0,$\beta$15,-1244.3952,3273.5422,-7660.538,5171.7475
16,12.0,$\beta$16,11449.0312,2690.7256,6175.209,16722.8534
17,12.0,$\beta$17,41784.3904,2682.3116,36527.0597,47041.7211
18,12.0,$\beta$18,30276.6669,3304.4168,23800.01,36753.3239
19,12.0,$\beta$19,30142.693,7594.853,15256.7812,45028.6048
20,12.0,$\beta$20,530.4544,14698.4595,-28278.5262,29339.435
21,12.0,$\beta$21,1962.5132,6322.2379,-10429.0731,14354.0995
22,12.0,$\beta$22,575.7693,4984.2834,-9193.4261,10344.9648
23,12.0,$\beta$23,-50074.7664,4678.0087,-59243.6635,-40905.8693
24,12.0,$\beta$24,-72769.8367,4996.3233,-82562.6303,-62977.0431
25,12.0,$\beta$25,-35488.9007,6416.1071,-48064.4706,-22913.3307
26,12.0,$\beta$26,-40665.662,15157.618,-70374.5932,-10956.7308
27,12.0,$\beta$27,-7976.0086,18839.6937,-44901.8082,28949.791
28,12.0,$\beta$28,-1276.4025,8053.8766,-17062.0007,14509.1957
29,12.0,$\beta$29,-11566.7875,6112.9034,-23548.0782,414.5031
30,12.0,$\beta$30,23954.7038,5557.5763,13061.8543,34847.5534
31,12.0,$\beta$31,82561.034,5543.1884,71696.3847,93425.6833
32,12.0,$\beta$32,59548.7853,6177.2984,47441.2804,71656.2901
33,12.0,$\beta$33,30995.7246,8183.4994,14956.0658,47035.3834
34,12.0,$\beta$34,28199.3407,19426.9543,-9877.4897,66276.1711
35,12.0,$\beta$35,10381.4013,15019.5225,-19056.8628,39819.6655
36,12.0,$\beta$36,2155.7686,6536.7061,-10656.1754,14967.7126
37,12.0,$\beta$37,7580.9892,4820.7035,-1867.5896,17029.5681
38,12.0,$\beta$38,2746.8568,4291.2453,-5663.9841,11157.6977
39,12.0,$\beta$39,-39236.5353,4116.8421,-47305.5459,-31167.5247
40,12.0,$\beta$40,-65770.6849,4304.0404,-74206.6042,-57334.7657
41,12.0,$\beta$41,-15811.8706,4903.2371,-25422.2153,-6201.5259
42,12.0,$\beta$42,-25705.3981,6645.2749,-38730.1369,-12680.6592
43,12.0,$\beta$43,-3814.2455,15453.4158,-34102.9405,26474.4495
44,12.0,$\beta$44,-5710.5554,6769.2804,-18978.345,7557.2343
45,12.0,$\beta$45,-2966.6412,3070.223,-8984.2782,3050.9959
46,12.0,$\beta$46,1662.3353,2270.4607,-2787.7676,6112.4382
47,12.0,$\beta$47,-10825.3273,1994.2864,-14734.1285,-6916.526
48,12.0,$\beta$48,11869.8411,1865.0308,8214.3806,15525.3015
49,12.0,$\beta$49,19406.8044,1856.7133,15767.6464,23045.9624
50,12.0,$\beta$50,26496.2621,2013.7172,22549.3764,30443.1479
51,12.0,$\beta$51,-6468.7886,2318.8944,-11013.8217,-1923.7555
52,12.0,$\beta$52,16026.3829,3127.2566,9896.96,22155.8059
53,12.0,$\beta$53,-6399.6788,6941.6416,-20005.2965,7205.9388
54,12.0,$\beta$54,1186.207,1316.6611,-1394.4487,3766.8628
55,12.0,$\beta$55,1284.5077,636.3087,37.3427,2531.6726
56,12.0,$\beta$56,-2217.6839,500.0825,-3197.8457,-1237.5222
57,12.0,$\beta$57,4634.2777,453.971,3744.4945,5524.0609
58,12.0,$\beta$58,-2622.1304,431.107,-3467.1001,-1777.1606
59,12.0,$\beta$59,-1661.0151,424.8806,-2493.7811,-828.2492
60,12.0,$\beta$60,-4315.7306,432.6471,-5163.719,-3467.7423
61,12.0,$\beta$61,-4049.3441,456.7824,-4944.6375,-3154.0506
62,12.0,$\beta$62,3497.3146,511.1078,2495.5433,4499.086
63,12.0,$\beta$63,-4433.0201,650.3603,-5707.7263,-3158.314
64,12.0,$\beta$64,2733.5644,1345.1897,96.9925,5370.1363
65,12.0,$\beta$65,0.0353,0.0087,0.0183,0.0523
66,12.0,$\beta$66,-0.0296,0.0109,-0.0509,-0.0083
67,12.0,$\beta$67,-0.0102,0.012,-0.0337,0.0132
68,12.0,$\beta$68,0.0012,0.0127,-0.0236,0.0261
69,12.0,$\beta$69,0.0049,0.0142,-0.0229,0.0327
70,12.0,$\beta$70,0.0104,0.0142,-0.0175,0.0383
71,12.0,$\beta$71,0.0053,0.0137,-0.0215,0.0322
72,12.0,$\beta$72,-0.0016,0.0137,-0.0285,0.0252
73,12.0,$\beta$73,-0.0021,0.0131,-0.0278,0.0236
74,12.0,$\beta$74,-0.0182,0.0116,-0.041,0.0046
75,12.0,$\beta$75,-0.0036,0.0108,-0.0247,0.0175
76,12.0,$\beta$76,0.0203,0.0087,0.0032,0.0374
