,degree,coeff name,coeff value,std error,CI lower,CI upper
77,12.0,$\beta$77,0.0194,0.0097,0.0004,0.0384
78,12.0,$\beta$78,0.0002,0.0078,-0.015,0.0154
79,12.0,$\beta$79,0.0104,0.0078,-0.0048,0.0256
80,12.0,$\beta$80,0.0047,0.0078,-0.0106,0.02
81,12.0,$\beta$81,-0.0094,0.0078,-0.0246,0.0058
82,12.0,$\beta$82,0.0021,0.0078,-0.0132,0.0174
83,12.0,$\beta$83,0.0022,0.0078,-0.013,0.0175
84,12.0,$\beta$84,0.0028,0.0078,-0.0126,0.0181
85,12.0,$\beta$85,-0.0072,0.0078,-0.0224,0.008
86,12.0,$\beta$86,-0.011,0.0078,-0.0263,0.0043
87,12.0,$\beta$87,-0.0096,0.0078,-0.0248,0.0056
88,12.0,$\beta$88,0.0012,0.0078,-0.0141,0.0166
89,12.0,$\beta$89,-0.0163,0.0097,-0.0353,0.0027
