,degree,coeff name,coeff value,std error,CI lower,CI upper
0,10.0,$\beta$0,6.9881,3.1056,0.901,13.0751
1,10.0,$\beta$1,30.4754,2.9477,24.698,36.2528
2,10.0,$\beta$2,-116.7141,55.437,-225.3705,-8.0576
3,10.0,$\beta$3,-322.0334,31.4743,-383.723,-260.3438
4,10.0,$\beta$4,-482.7051,54.2402,-589.0159,-376.3943
5,10.0,$\beta$5,1105.7918,472.8364,179.0324,2032.5512
6,10.0,$\beta$6,848.2723,236.6703,384.3985,1312.146
7,10.0,$\beta$7,3613.4472,236.6842,3149.5462,4077.3482
8,10.0,$\beta$8,3292.9248,470.5514,2370.6441,4215.2054
9,10.0,$\beta$9,-5277.9681,2325.9953,-9836.9188,-719.0174
10,10.0,$\beta$10,-371.1509,1082.5211,-2492.8923,1750.5904
11,10.0,$\beta$11,-10332.2478,945.3316,-12185.0977,-8479.3978
12,10.0,$\beta$12,-14941.9253,1094.4367,-17087.0211,-12796.8294
13,10.0,$\beta$13,-12596.1764,2331.7406,-17166.388,-8025.9648
14,10.0,$\beta$14,13764.2739,7120.8107,-192.515,27721.0628
15,10.0,$\beta$15,-530.6648,3174.5818,-6752.8452,5691.5156
16,10.0,$\beta$16,9406.3137,2597.0611,4316.0739,14496.5535
17,10.0,$\beta$17,41522.095,2612.0355,36402.5054,46641.6846
18,10.0,$\beta$18,30097.5747,3235.3885,23756.2133,36438.936
19,10.0,$\beta$19,29205.8758,7164.6066,15163.2468,43248.5047
20,10.0,$\beta$20,-21003.3299,14012.7784,-48468.3756,6461.7158
21,10.0,$\beta$21,-1849.4761,6159.1117,-13921.3351,10222.3829
22,10.0,$\beta$22,4691.1474,4802.2499,-4721.2625,14103.5573
23,10.0,$\beta$23,-47426.484,4472.1085,-56191.8168,-38661.1513
24,10.0,$\beta$24,-72972.4291,4874.0492,-82525.5656,-63419.2927
25,10.0,$\beta$25,-35368.8438,6289.3066,-47695.8846,-23041.8029
26,10.0,$\beta$26,-40315.5266,14133.7466,-68017.67,-12613.3833
27,10.0,$\beta$27,19368.8876,17745.0629,-15411.4355,54149.2108
28,10.0,$\beta$28,5704.1336,7897.7844,-9775.5238,21183.7909
29,10.0,$\beta$29,-14613.1908,5895.1375,-26167.6604,-3058.7213
30,10.0,$\beta$30,17506.0259,5296.9516,7124.0008,27888.0511
31,10.0,$\beta$31,82455.6821,5306.2218,72055.4874,92855.8767
32,10.0,$\beta$32,59335.7761,6029.9613,47517.052,71154.5001
33,10.0,$\beta$33,31790.1337,8048.7787,16014.5274,47565.74
34,10.0,$\beta$34,29201.573,17934.4049,-5949.8606,64353.0065
35,10.0,$\beta$35,-10769.3861,13978.0876,-38166.4379,16627.6657
36,10.0,$\beta$36,-4123.4996,6454.8116,-16774.9304,8527.9311
37,10.0,$\beta$37,7231.7732,4694.3472,-1969.1474,16432.6938
38,10.0,$\beta$38,9083.2055,4106.167,1035.1181,17131.2929
39,10.0,$\beta$39,-36783.4976,3908.0324,-44443.2411,-29123.7541
40,10.0,$\beta$40,-67180.4732,4139.9798,-75294.8337,-59066.1127
41,10.0,$\beta$41,-14818.3137,4815.2948,-24256.2914,-5380.3359
42,10.0,$\beta$42,-27423.9925,6559.542,-40280.6948,-14567.2903
43,10.0,$\beta$43,-5394.8854,14152.4989,-33133.7832,22344.0125
44,10.0,$\beta$44,3428.6431,6231.0452,-8784.2055,15641.4917
45,10.0,$\beta$45,-200.3105,3056.0855,-6190.238,5789.6171
46,10.0,$\beta$46,3262.9135,2252.9986,-1152.9639,7678.7908
47,10.0,$\beta$47,-13744.5162,1934.0144,-17535.1845,-9953.848
48,10.0,$\beta$48,9805.6727,1786.3254,6304.475,13306.8704
49,10.0,$\beta$49,19480.8702,1783.0939,15986.0061,22975.7342
50,10.0,$\beta$50,27243.8803,1958.947,23404.3441,31083.4165
51,10.0,$\beta$51,-7245.4988,2303.7397,-11760.8286,-2730.169
52,10.0,$\beta$52,17333.2565,3099.4579,11258.319,23408.1939
53,10.0,$\beta$53,-5470.3813,6319.0835,-17855.7849,6915.0224
54,10.0,$\beta$54,-506.6496,1200.5479,-2859.7236,1846.4243
55,10.0,$\beta$55,817.221,639.5509,-436.2987,2070.7407
56,10.0,$\beta$56,-2822.5099,506.9172,-3816.0676,-1828.9522
57,10.0,$\beta$57,5177.949,451.9065,4292.2124,6063.6857
58,10.0,$\beta$58,-2139.411,427.1057,-2976.5382,-1302.2838
59,10.0,$\beta$59,-1465.4745,418.8697,-2286.4591,-644.49
60,10.0,$\beta$60,-4487.9093,427.6861,-5326.174,-3649.6445
61,10.0,$\beta$61,-4142.9123,459.4928,-5043.5182,-3242.3065
62,10.0,$\beta$62,3682.382,515.0101,2672.9621,4691.8018
63,10.0,$\beta$63,-4783.7396,648.0356,-6053.8894,-3513.5898
64,10.0,$\beta$64,2529.5686,1219.3506,139.6413,4919.4958
