,degree,coeff name,coeff value,std error,CI lower,CI upper
0,6.0,$\beta$0,-0.0,,,
1,6.0,$\beta$1,-0.0026,0.0001,-0.0027,-0.0025
2,6.0,$\beta$2,0.0006,0.0001,0.0005,0.0008
3,6.0,$\beta$3,-0.2848,0.0049,-0.2945,-0.2752
4,6.0,$\beta$4,0.2946,0.0067,0.2815,0.3078
5,6.0,$\beta$5,-0.1315,0.0049,-0.1412,-0.1218
6,6.0,$\beta$6,0.0024,0.0001,0.0023,0.0025
7,6.0,$\beta$7,-0.0008,0.0001,-0.0009,-0.0007
8,6.0,$\beta$8,-0.0014,0.0001,-0.0015,-0.0013
9,6.0,$\beta$9,0.0014,0.0001,0.0013,0.0015
10,6.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,6.0,$\beta$11,-0.0,0.0,-0.0,-0.0
12,6.0,$\beta$12,0.0,0.0,0.0,0.0
13,6.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,6.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,6.0,$\beta$15,0.0,0.0,0.0,0.0
16,6.0,$\beta$16,0.0,0.0,-0.0,0.0
17,6.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,6.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,6.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,6.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,6.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,6.0,$\beta$22,0.0,0.0,-0.0,0.0
23,6.0,$\beta$23,0.0,0.0,-0.0,0.0
24,6.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,6.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,6.0,$\beta$26,0.0,0.0,-0.0,0.0
27,6.0,$\beta$27,0.0,0.0,0.0,0.0
